Chart Number,Bird Species,Admission Date,When Captured,Age,Sex,Address - Captured,City - Captured,Injury Cause,Status
2016-00590,Yellow-bellied Sapsucker,07.04.2016,4/6/16 1:20 PM,A,M,"660 N. Rush, south side",Chicago,Collision - building,Euthanized after 24 hours
2016-00591,Virginia Rail,07.04.2016,4/6/16 6 PM,A,UNK,"89th + Cottage Grove, no side",Chicago,Collision - building,Died after 24 hrs
2016-00592,Yellow-bellied Sapsucker,07.04.2016,4/6/16 4:45 PM,A,M,"300 W. Hill St, no side",Chicago,Collision - building,Died after 24 hrs
2016-00593,Yellow-bellied Sapsucker,07.04.2016,4/6/16 1:45 PM,A,M,"353 N. Clark, east side",Chicago,Collision - building,Released
2016-00600,Yellow-bellied Sapsucker,07.04.2016,4/6/16 10:30 PM,A,M,"Trump Lobby, no side",Chicago,Collision - building,Released
2016-00601,Brown Creeper,07.04.2016,4/7/16 6:35 AM,A,UNK,"70 W. Kinzie, south side",Chicago,Collision - building,Released
2016-00602,Golden-crowned Kinglet,07.04.2016,4/7/16 9:45 AM,A,F,"Hyatt Center, no side",Chicago,Collision - building,Released
2016-00603,Yellow-bellied Sapsucker,07.04.2016,4/6/16 2 PM,A,M,Anti-Cruelty Society,Chicago,Collision - building,Released
2016-00604,Virginia Rail,07.04.2016,4/7/16 9:30 AM,A,UNK,"Hyatt Center, no side",Chicago,Collision - building,Released
2016-00609,Mallard,07.04.2016,4/7/16 3:30 PM,A,M,775 Belden,Addison,Collision - car,Euthanized after 24 hours
2016-00611,Great Blue Heron,07.04.2016,4/7/16,A,UNK,(Cleveland Vet Clinic) 400 n McLean Blvd,South Elgin,Animal attack - other,Released
2016-00620,Yellow-bellied Sapsucker,08.04.2016,4/7/16 1:35 PM,A,F,"35 W. Wacker, north side",Chicago,Collision - building,Released
2016-00621,Yellow-bellied Sapsucker,08.04.2016,4/8/16,A,F,address not given,Chicago,Collision - building,Released
2016-00632,Yellow-bellied Sapsucker,08.04.2016,4/8/16,A,M,not given,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00633,American Robin,08.04.2016,4/8/16 6:30 PM,A,UNK,"2616 N. Wilson, no side",Chicago,Entanglement- other,Transferred
2016-00634,Brown Creeper,08.04.2016,4/7/16 6 PM,A,UNK,"1233 N. Kingsbury, no side",Chicago,Collision - building,Died within 24 hours
2016-00635,Yellow-bellied Sapsucker,08.04.2016,4/7/16 6:30 PM,A,F,River North Area,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00636,Yellow-bellied Sapsucker,08.04.2016,4/7/16 PM,A,F,"1734 N. Winchester, west side",Chicago,Collision - building,Released
2016-00637,Yellow-bellied Sapsucker,08.04.2016,4/7/16,A,M,6000 N. and 1900 WEst,Chicago,Collision - building,Released
2016-00639,Yellow-bellied Sapsucker,08.04.2016,4/7/16 10:30 AM,A,M,(Grace Day School) 3751 N. Grace Street,Chicago,Collision - building,Released
2016-00640,Yellow-bellied Sapsucker,08.04.2016,4/8/16,A,M,not given,Chicago,Collision - building,Released
2016-00641,Yellow-bellied Sapsucker,08.04.2016,4/7/16 11:30 AM,A,M,"445 W. Erie, no side",Chicago,Collision - building,Released
2016-00642,Yellow-bellied Sapsucker,08.04.2016,4/7/16 5 PM,A,F,"2129 N. Sprinfield, no side",Chicago,Collision - building,Released
2016-00643,Yellow-shafted Flicker,08.04.2016,4/7/16 11:05 AM,A,M,"Leo Burnett building, north sid",Chicago,Collision - building,Released
2016-00645,American Robin,08.04.2016,4/8/16 3:30 PM,A,M,"300 W. 22nd Street, west side",Berwyn,Collision - building,Euthanized within 24 hour of admit
2016-00653,American Woodcock,09.04.2016,4/7/16,A,UNK,Monroe & Clark,Chicago,Collision - window,Released
2016-00656,American Woodcock,09.04.2016,4/8/16 8 AM,A,UNK,555 W Madison - N,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00659,Yellow-bellied Sapsucker,09.04.2016,4/7/16 5 PM,A,M,2345 n cliffton - W,Chicago,Collision - building,Released
2016-00661,Red-tailed Hawk,10.04.2016,none given,A,UNK,2008 Algonquin Rd,Mount Prospect,Unknown,Released
2016-00665,Yellow-bellied Sapsucker,10.04.2016,4/9/16 2 PM,A,M,Downtown,Chicago,Collision - building,Released
2016-00667,Yellow-shafted Flicker,10.04.2016,4/10/16 6:50 AM,A,F,Renaissance Hotel,Chicago,Collision - building,Released
2016-00670,Yellow-bellied Sapsucker,10.04.2016,4/10/16 10 AM,A,UNK,,Chicago,Unknown,Released
2016-00677,American Woodcock,11.04.2016,4/11/16 7 AM,A,UNK,560 W. Van Buren,Chicago,Unknown,Euthanized after 24 hours
2016-00678,Brown-headed Cowbird,11.04.2016,4/11/16 8 AM,A,F,810 N. Dearborn St (E. sd),Chicago,Collision - building,Died within 24 hours
2016-00679,American Woodcock,11.04.2016,4/11/16 7:15 AM,A,UNK,Kluczynski Blds  (N sd),Chicago,Collision - building,Died within 24 hours
2016-00690,Mallard,11.04.2016,4/11/16 9 AM,A,M,5301 Rt 83,Long Grove,Unknown,Released
2016-00691,Mouring Dove,12.04.2016,4/11/16,A,UNK,2211 Harrison Street,Glenview,Animal attack - cat,Released
2016-00692,Yellow-bellied Sapsucker,12.04.2016,4/11/16,A,M,"7320 N Ashland, no side",Chicago,Collision - building,Released
2016-00693,American Woodcock,12.04.2016,4/11/16 12:30 PM,A,UNK,"506 N Desplaines, east side",Chicago,Collision - building,Released
2016-00706,American Woodcock,12.04.2016,4/12/16 6:20 AM,A,UNK,111 E. Wacker (S sd),Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00707,Yellow-bellied Sapsucker,12.04.2016,4/11/16 3:56 PM,A,M,Daley Center (SEW),Chicago,Collision - building,Died after 24 hrs
2016-00708,Yellow-bellied Sapsucker,12.04.2016,4/11/16 4 PM,A,M,Chicago History Museum (W sd),Chicago,Collision - building,Released
2016-00709,Red-winged Blackbird,12.04.2016,4/11/16 4 PM,A,M,Noyes/Sherman (E sd),Evanston,Collision - building,Released
2016-00711,Yellow-bellied Sapsucker,12.04.2016,4/12/16 7:30 AM,A,M,LaSalle St.,Chicago,Collision - building,Released
2016-00712,Yellow-bellied Sapsucker,12.04.2016,4/11/16 4:30 PM,A,M,570 W. Wayman,Chicago,Collision - building,Released
2016-00713,Yellow-bellied Sapsucker,12.04.2016,4/11/16 6:30 AM,A,M,815 W Vicker,Chicago,Collision - building,Released
2016-00724,Yellow-bellied Sapsucker,13.04.2016,4/12/16,A,F,626 Belleforte,Oak Park,Unknown,Died within 24 hours
2016-00727,Virginia Rail,13.04.2016,4/12/16 5:15 PM,A,UNK,105 W Madison - N,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00728,Brown Creeper,13.04.2016,4/12/16 7:30 AM,A,UNK,Swissotel - W side,Chicago,Collision - building,Died within 24 hours
2016-00729,Yellow-bellied Sapsucker,13.04.2016,4/12/16 8 AM,A,UNK,345 N LaSalle - NW,Chicago,Collision - building,Released
2016-00731,Golden-crowned Kinglet,13.04.2016,4/13/16 6:15 AM,A,F,Blue Cross (W sd),Chicago,Collision - building,Released
2016-00732,Slate-colored Junco,13.04.2016,4/13/16 6:45 AM,A,M,Federal Kulz. (S. sd),Chicago,Collision - building,Released
2016-00733,Yellow-bellied Sapsucker,13.04.2016,4/13/16 7:15 AM,A,M,Dog Park Lakeshore (N sd),Chicago,Collision - building,Released
2016-00734,Eastern Towhee,13.04.2016,4/13/16 7:40 AM,A,M,225 W. Randolph (N sd),Chicago,Collision - building,Released
2016-00735,Brown Creeper,13.04.2016,4/13/16 8 AM,A,UNK,111 E Wacker Dr,Chicago,Collision - building,Released
2016-00736,Brown Creeper,13.04.2016,4/13/16 8:25 AM,A,UNK,Arcade Alley,Chicago,Collision - building,Released
2016-00737,Brown Creeper,13.04.2016,4/13/16 7:45 AM,A,UNK,Prudential Pl 2 (E sd),Chicago,Collision - building,Released
2016-00738,Slate-colored Junco,13.04.2016,4/13/16 7 AM,A,F,205 N. Michigan (N sd),Chicago,Collision - building,Released
2016-00739,Yellow-bellied Sapsucker,13.04.2016,4/13/16 6:50 AM,A,M,181 W. Madison (W sd),Chicago,Collision - building,Released
2016-00740,Brown Creeper,13.04.2016,4/13/16,A,UNK,,Chicago,Collision - building,Released
2016-00741,Brown Creeper,13.04.2016,4/13/16 7:25 AM,A,UNK,1 S. Dearborn (N sd),Chicago,Collision - building,Released
2016-00742,Brown Creeper,13.04.2016,4/13/16 7 AM,UNK,UNK,230 W. Monroe (W sd),Chicago,Collision - building,Released
2016-00743,Brown Creeper,13.04.2016,4/13/16 6:45 AM,UNK,UNK,Federal Kul,Chicago,Collision - building,Released
2016-00744,Brown Creeper,13.04.2016,4/13/16 7:45 AM,A,UNK,Citi Corp (S sd),Chicago,Collision - building,Released
2016-00745,Yellow-bellied Sapsucker,13.04.2016,4/13/16 6:50 AM,A,M,10 S. Riverside Plz,Chicago,Collision - building,Released
2016-00748,Cooper's Hawk,13.04.2016,4/13/16 11:45 AM,A,UNK,5742 S Nagle,Chicago,Unknown,Released
2016-00749,Yellow-bellied Sapsucker,13.04.2016,4/13/16 10:30 AM,A,F,4205 W Divison,Chicago,Collision - building,Released
2016-00752,Yellow-bellied Sapsucker,13.04.2016,4/13/16 8:56 AM,A,M,"1330-32 56th St, north side",Chicago,Collision - building,Released
2016-00760,American Woodcock,14.04.2016,4/13/16 4 PM,A,UNK,"40 E. 9th Street, no side",Chicago,Collision - building,Released
2016-00761,Golden-crowned Kinglet,14.04.2016,4/14/16 8:15 AM,A,F,"28 N. Clark, no side given",Chicago,Collision - building,Died within 24 hours
2016-00762,Yellow-bellied Sapsucker,14.04.2016,4/13/16 4 PM,A,M,River north Area,Chicago,Collision - building,Died before exam
2016-00763,Yellow-bellied Sapsucker,14.04.2016,4/14/16 8 AM,A,F,"10 S. Riverside, east side",Chicago,Collision - building,Died before exam
2016-00764,Brown Creeper,14.04.2016,4/13/16 8 PM,A,UNK,"151 W. Adams, north side",Chicago,Collision - building,Died before exam
2016-00765,Yellow-bellied Sapsucker,14.04.2016,4/14/16 6:50 AM,A,F,"150 N. Wacker, south side",Chicago,Collision - building,Released
2016-00780,Song Sparrow,14.04.2016,4/14/16,A,UNK,"30 N. Clark, no side",Chicago,Collision - building,Released
2016-00781,Slate-colored Junco,14.04.2016,4/14/16 7:09 AM,A,M,"77 W. Wacker, NE side",Chicago,Collision - building,Released
2016-00782,Virginia Rail,14.04.2016,4/14/16 6:05 AM,A,UNK,"Dirksen, east side",Chicago,Collision - building,Released
2016-00783,Yellow-shafted Flicker,14.04.2016,4/14/16 7:16 AM,A,F,"111 E. Wacker plaza, east side",Chicago,Collision - building,Released
2016-00784,Golden-crowned Kinglet,14.04.2016,4/14/16 6:10 AM,A,F,"Prudential , north side",Chicago,Collision - building,Released
2016-00785,Golden-crowned Kinglet,14.04.2016,4/14/16 7:05 AM,A,F,Boeing-east side,Chicago,Collision - building,Released
2016-00786,Brown Creeper,14.04.2016,4/14/16 6:45 AM,A,UNK,"Dirksen, east side",Chicago,Collision - building,Released
2016-00787,Golden-crowned Kinglet,14.04.2016,4/14/16 6:21 AM,A,F,"321 N. Clark, west side",Chicago,Collision - building,Released
2016-00788,Golden-crowned Kinglet,14.04.2016,4/14/16 7:30 AM,A,F,"300 S. Riverside, south side",Chicago,Collision - building,Released
2016-00789,Brown Creeper,14.04.2016,4/14/16 6:40 AM,A,UNK,"350 N. LaSalle, north side",Chicago,Collision - building,Released
2016-00790,Golden-crowned Kinglet,14.04.2016,4/14/16 7:03 AM,A,F,"321 N. Clark, north side",Chicago,Collision - building,Released
2016-00791,Yellow-bellied Sapsucker,14.04.2016,4/14/16 6:10 AM,A,F,"Dirksen, west side",Chicago,Collision - building,Released
2016-00792,Yellow-shafted Flicker,14.04.2016,4/13/16 6:45 AM,A,F,not given,Chicago,Collision - building,Released
2016-00793,Yellow-bellied Sapsucker,14.04.2016,4/14/16 6:50 AM,A,M,"150 N. Wacker, south side",Chicago,Collision - building,Released
2016-00794,Yellow-shafted Flicker,14.04.2016,4/14/16 6:40 AM,A,F,"kluzinski bldg, east",Chicago,Collision - building,Released
2016-00795,Yellow-bellied Sapsucker,14.04.2016,4/14/16 6:50 AM,A,F,kluzinski bldg,Chicago,Collision - building,Released
2016-00796,Yellow-bellied Sapsucker,14.04.2016,4/14/16 7:10 AM,A,M,"111 e wacker, south",Chicago,Collision - building,Released
2016-00797,Yellow-bellied Sapsucker,14.04.2016,4/14/16 10:30 AM,A,M,"1 n wacker, west",Chicago,Collision - building,Released
2016-00798,Yellow-bellied Sapsucker,14.04.2016,4/14/16 6:25 AM,A,M,"321 n clark, west",Chicago,Collision - building,Released
2016-00799,Brown Creeper,14.04.2016,4/14/16 6:10 AM,A,UNK,dirkson building/north,Chicago,Collision - building,Released
2016-00800,Brown Creeper,14.04.2016,4/14/16 7 AM,A,UNK,"150 n wacker, east",Chicago,Collision - building,Released
2016-00801,Yellow-shafted Flicker,14.04.2016,4/14/16 6:35 AM,A,M,"225 n michigan, east",Chicago,Collision - building,Released
2016-00802,Hermit Thrush,14.04.2016,4/14/16 6:20 AM,A,UNK,arcade alley,Chicago,Collision - building,Released
2016-00803,Slate-colored Junco,14.04.2016,4/14/16 6:22 AM,A,F,321 n clark,Chicago,Collision - building,Released
2016-00804,Golden-crowned Kinglet,14.04.2016,4/14/16 7:59 AM,A,UNK,321 n clark/e hall,Chicago,Collision - building,Released
2016-00805,Brown Creeper,14.04.2016,4/14/16 1:30 PM,A,UNK,71 w wacker,Chicago,Collision - building,Released
2016-00806,Slate-colored Junco,15.04.2016,4/14/16 7:40AM,A,M,Wacker & Adams,Chicago,Collision - building,Released
2016-00808,Virginia Rail,15.04.2016,4/15/16 7:30 PM,A,UNK,1734 W Touhy,Chicago,Collision - building,Permanent Resident
2016-00809,Brown Thrasher,15.04.2016,4/15/16 5:50 AM,A,UNK,swisstoel -NE,Chicago,Collision - building,Released
2016-00810,Yellow-bellied Sapsucker,15.04.2016,4/14/16 12:30 PM,A,F,1333 W Barry,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00811,Yellow-shafted Flicker,15.04.2016,4/15/16 7:30 AM,A,F,233 Michigan Plaza - N,Chicago,Collision - building,Released
2016-00812,American Woodcock,15.04.2016,4/15/16 5:50 AM,A,UNK,540 W Madison - E,Chicago,Collision - building,Released
2016-00813,Brown Creeper,15.04.2016,4/15/16 8:50 AM,A,UNK,Arcade Alley,Chicago,Collision - building,Died within 24 hours
2016-00814,Yellow-bellied Sapsucker,15.04.2016,4/15/16 2:55 AM,A,M,3925 N Paulina - W,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00816,Yellow-shafted Flicker,15.04.2016,4/15/16  6:23 AM,A,F,"230 S. Dearborn, north side",Chicago,Collision - building,Released
2016-00817,Yellow-bellied Sapsucker,15.04.2016,4/14/16 3:30 PM,A,M,330N Wabash,Chicago,Collision - building,Released
2016-00818,Golden-crowned Kinglet,15.04.2016,4/15/16 6:35 AM,A,F,Citicorp - s,Chicago,Collision - building,Released
2016-00819,Yellow-bellied Sapsucker,15.04.2016,4/14/16 1:36 PM,A,F,Dirksen - W,Chicago,Collision - building,Released
2016-00820,Yellow-shafted Flicker,15.04.2016,4/15/16 7:43 AM,A,M,(Hyatt Court) 711 S Wacker - W,Chicago,Collision - building,Released
2016-00821,Yellow-bellied Sapsucker,15.04.2016,4/15/16 8 AM,A,M,Westin - E,Chicago,Collision - building,Released
2016-00822,Yellow-shafted Flicker,15.04.2016,4/15/16 8:05 AM,A,F,225 W Wacker - N,Chicago,Collision - building,Released
2016-00823,Yellow-shafted Flicker,15.04.2016,4/15/16 5:58 AM,A,M,Naveen - SW,Chicago,Collision - building,Released
2016-00824,Swamp Sparrow,15.04.2016,4/15/16 8:30 AM,A,UNK,"bag says ""north side chicago""",Chicago,Collision - building,Released
2016-00825,Brown Creeper,15.04.2016,4/15/16,A,UNK,"300 N. Lasalle, no side given",Chicago,Collision - building,Released
2016-00826,Hermit Thrush,15.04.2016,4/15/16 6 AM,A,UNK,"225 Wacker, NW corner",Chicago,Collision - building,Released
2016-00827,Brown Thrasher,15.04.2016,4/15/16 6:40 AM,A,UNK,"1 S. Dearborn, north side",Chicago,Collision - building,Released
2016-00828,Swamp Sparrow,15.04.2016,4/15/16 6:50 AM,A,UNK,"10 S. Riverside, west side",Chicago,Collision - building,Released
2016-00829,Brown Creeper,15.04.2016,4/15/16 6:20 AM,A,UNK,"Willis Tower, south side",Chicago,Collision - building,Released
2016-00830,Yellow-bellied Sapsucker,15.04.2016,4/15/16 6:35 AM,A,M,"UBS Tower, south side",Chicago,Collision - building,Released
2016-00831,Yellow-shafted Flicker,15.04.2016,4/14/16 12:36 PM,A,M,"Dirksen, north side",Chicago,Collision - building,Released
2016-00855,Yellow-bellied Sapsucker,16.04.2016,4/16/16 11 AM,A,UNK,"State and 10th, no side given",Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00856,Mouring Dove,16.04.2016,4/15/16 5 PM,A,M,1700 W. Chase Ave,Chicago,Collision - building,Died before exam
2016-00857,American Woodcock,16.04.2016,4/16/16 11:30 AM,A,UNK,400 N LaSalle - S,Chicago,Collision - building,Released
2016-00858,Hermit Thrush,16.04.2016,4/16/16 6:26 AM,A,UNK,525 W Monroe - N,Chicago,Collision - building,Released
2016-00859,Yellow-shafted Flicker,16.04.2016,4/16/16 11:40 AM,A,F,33 W Ontario - N,Chicago,Collision - building,Released
2016-00861,Slate-colored Junco,16.04.2016,4/16/16 7:10 AM,A,UNK,"303 E. Wacker Dr, north side",Chicago,Collision - building,Released
2016-00862,Golden-crowned Kinglet,16.04.2016,4/15/16,A,M,Pilsen in Chicago,Chicago,Collision - building,Released
2016-00863,Winter Wren,16.04.2016,4/16/16 6:25 AM,A,UNK,"225 N. Michigan Avenue, south s",Chicago,Collision - building,Released
2016-00864,Slate-colored Junco,16.04.2016,4/16/16 6:35 AM,A,UNK,233 Michigan Plaza. east side,Chicago,Collision - building,Released
2016-00865,Golden-crowned Kinglet,16.04.2016,4/16/16 6:10 AM,A,F,"333 W. Wacker, north side",Chicago,Collision - building,Released
2016-00866,Yellow-bellied Sapsucker,16.04.2016,4/16/16 7:45 AM,A,M,"345 N. LaSalle, inside aprtment",Chicago,Collision - building,Released
2016-00867,Chipping Sparrow,16.04.2016,4/16/16 5:45 AM,A,UNK,"225 N. Michigan, north side",Chicago,Collision - building,Released
2016-00868,Hermit Thrush,16.04.2016,4/16/16 6:40 AM,A,UNK,"233 Michigan Plaza, north side",Chicago,Collision - building,Released
2016-00869,Brown Creeper,16.04.2016,4/16/16 11:15 AM,A,UNK,UBS,Chicago,Collision - building,Released
2016-00870,Hermit Thrush,16.04.2016,4/16/16,A,UNK,233 Mlica Plaza  (S sd),Chicago,Collision - building,Released
2016-00874,Canada Goose,17.04.2016,none given,A,UNK,North Ave/Schmale,Carol Stream,Entanglement - fence,Euthanized within 24 hour of admit
2016-00883,Great Horned Owl,17.04.2016,4/16/16,F,UNK,21465 W. 119th Pl,Plainfield,Unknown,Fostered
2016-00890,Pied-billed Grebe,17.04.2016,4/16/16 4 PM,A,UNK,baseball field in,Skokie,Unknown,Euthanized after 24 hours
2016-00891,Canada Goose,17.04.2016,4/16/16 2 PM,N,UNK,near mccormick place,Chicago,Unknown,Fostered
2016-00893,White-throated Sparrow,17.04.2016,4/17/16 6:45 AM,A,UNK,10 S. Riverside Plaza (S sd),Chicago,Collision - building,Released
2016-00894,Virginia Rail,17.04.2016,4/16/16 2:50 PM,A,UNK,280 W. Washington (S sd),Chicago,Collision - building,Died after 24 hrs
2016-00895,Yellow-bellied Sapsucker,17.04.2016,4/16/16 8:15 PM,A,M,111 S. Wacker (S sd),Chicago,Collision - building,Released
2016-00896,Brown Creeper,17.04.2016,4/17/16 6 AM,A,UNK,230 W. Monroe (W sd),Chicago,Collision - building,Died within 24 hours
2016-00898,Ruby-crowned Kinglet,17.04.2016,4/17/16,A,M,171 N. Clark (W sd),Chicago,Collision - building,Released
2016-00899,Brown Creeper,17.04.2016,4/17/16 9 AM,A,UNK,1N Wacker (W. sd),Chicago,Collision - building,Released
2016-00900,Yellow-shafted Flicker,17.04.2016,4/17/16 3:30 PM,A,F,Prudential Plaza 2 (N sd),Chicago,Collision - building,Released
2016-00901,Brown Creeper,17.04.2016,4/17/16 8:30 AM,A,UNK,353 N. Clark (W sd),Chicago,Collision - building,Released
2016-00902,Canada Goose,17.04.2016,4/17/16 10 AM,A,M,416 Clarendon Hills,Clarendon Hills,Collision - car,Dead on arrival
2016-00905,Great Horned Owl,17.04.2016,4/17/16 3:30 PM,F,UNK,4529 Sherwood Ave,Downers Grove,Fell from nest,Returned to Wild
2016-00909,Mallard,17.04.2016,4/17/16 4 PM,A,F,Naperville Riverwalk,Naperville,Unknown,Euthanized within 24 hour of admit
2016-00912,Brown Creeper,18.04.2016,4/18/16 7:40 AM,A,UNK,1 S Wacker (W sd),Chicago,Collision - building,Died within 24 hours
2016-00913,Hermit Thrush,18.04.2016,4/18/16 6:50 AM,A,UNK,125S Wacker (NW corner),Chicago,Collision - building,Released
2016-00914,Brown Creeper,18.04.2016,4/18/16 8:45 AM,A,UNK,10 S. LaSalle (W sd),Chicago,Collision - building,Died within 24 hours
2016-00915,American Woodcock,18.04.2016,4/17/16 4:30 PM,A,UNK,Grace/ Hermitage,Chicago,Collision - building,Euthanized within 24 hour of admit
2016-00916,Yellow-shafted Flicker,18.04.2016,4/18/16 7:25 AM,A,M,233 Michigan Plaza (N sd),Chicago,Collision - building,Released
2016-00920,Brown Creeper,18.04.2016,4/18/16  8 AM,A,UNK,"321 N Clark, E Side",Chicago,Collision - building,Released
2016-00921,American Woodcock,18.04.2016,4/18/16 5:25 AM,A,UNK,"311 S Wacker, E Side",Chicago,Collision - building,Released
